company_id,industry,country,year,ai_adoption_level,ai_investment_usd,automation_rate,cost_savings,revenue_impact,productivity_gain,employee_ai_training_hours,ai_maturity_score,deployment_count
CORP-04225,Logistics,United States,2029,0.759,5411657,0.7787,3136300,1800366,0.6451,127.1,7.59,33
CORP-07549,Financial Services,United States,2033,0.7219,7851957,0.5929,3568993,3503587,0.5969,136.5,8.36,40
CORP-07962,Technology,Brazil,2029,0.4077,2386274,0.3762,1267613,1723447,0.3483,47.3,5.01,24
CORP-02993,Healthcare,China,2024,0.5699,3672203,0.3853,1615149,2112105,0.4289,76.7,6.44,24
CORP-02894,Manufacturing,China,2023,0.4167,4256503,0.4107,849100,1271036,0.3971,76.5,6.23,23
CORP-07022,Logistics,United States,2016,0.2032,1661252,0.2676,289214,229489,0.2661,43.6,4.12,12
CORP-02902,Manufacturing,India,2017,0.2689,2398538,0.2901,837936,579705,0.3138,42.6,4.28,12
CORP-02427,Education,United Kingdom,2021,0.3879,958376,0.1814,164203,-57908,0.2256,59.8,5.98,23
CORP-01099,Logistics,Japan,2018,0.031,555650,0.0641,71029,128580,0.0902,21.8,3.27,10
CORP-01430,Technology,France,2021,0.4203,3993190,0.4177,1774846,2095732,0.3116,54.8,5.45,19
CORP-04354,Manufacturing,Netherlands,2015,0.0284,698866,0.088,84556,72591,0.0441,1.0,2.74,6
CORP-00579,Logistics,France,2034,0.851,6172773,0.8503,3443944,3404788,0.7035,103.9,8.66,44
CORP-02755,Energy,Sweden,2026,0.5975,10139399,0.5378,5998593,5063142,0.46,81.5,7.06,27
CORP-01208,Energy,India,2027,0.6203,3508057,0.5428,755383,950730,0.5339,82.9,6.68,27
CORP-04754,Logistics,India,2032,0.7507,2504269,0.7593,1225693,696861,0.6798,95.9,7.54,37
CORP-02678,Manufacturing,United States,2024,0.7012,3870041,0.7341,1156892,-478691,0.5554,110.6,7.08,31
CORP-01070,Financial Services,United States,2021,0.3473,3768021,0.3272,1364503,1348987,0.2561,63.1,5.42,21
CORP-07269,Manufacturing,United States,2027,0.7649,8729394,0.7874,3537458,2509468,0.653,134.1,7.74,30
CORP-01639,Telecom,India,2031,0.921,3158988,0.7334,1751916,1798524,0.6997,123.3,8.18,39
CORP-02184,Retail,Japan,2022,0.342,1449158,0.2636,437408,404697,0.2155,52.7,5.07,17
CORP-03842,Financial Services,Japan,2035,1.0,14475048,0.8718,8560336,6343023,0.8033,119.6,9.93,51
CORP-06268,Manufacturing,Japan,2032,0.6992,8215996,0.7151,2398781,2053222,0.6501,90.8,8.3,40
CORP-06183,Technology,India,2025,0.5613,4730837,0.4833,2889596,4900992,0.4212,66.6,6.81,27
CORP-07663,Technology,Brazil,2027,0.4764,2458658,0.3467,739340,1937918,0.3824,53.0,6.17,27
CORP-02773,Energy,France,2030,0.8235,5549931,0.7222,2385697,4141440,0.6052,89.9,8.51,39
CORP-03573,Retail,Japan,2031,0.889,3388781,0.7045,2100270,1718984,0.6484,123.3,9.31,43
CORP-02754,Telecom,United States,2027,0.7376,8732115,0.6135,3928543,3162583,0.558,120.8,8.12,32
CORP-04633,Healthcare,France,2024,0.3781,3739978,0.2824,1024228,732380,0.2677,42.9,5.22,21
CORP-03523,Manufacturing,United States,2020,0.6177,5392758,0.6639,2679727,2020708,0.5911,101.8,6.69,21
CORP-02851,Energy,India,2015,0.2594,2121038,0.2093,925861,235475,0.1982,28.1,3.39,15
CORP-05089,Logistics,United States,2024,0.5045,2328917,0.494,814069,842738,0.4906,100.3,6.49,23
CORP-02908,Healthcare,United Kingdom,2034,1.0,8884295,0.6951,5826742,8991300,0.604,153.3,8.99,47
CORP-05230,Logistics,Japan,2028,0.7017,4547837,0.6656,1872066,2506701,0.6333,76.7,7.22,31
CORP-01940,Healthcare,Canada,2034,1.0,3214855,0.6315,902981,2469908,0.648,129.2,10.0,50
CORP-05067,Healthcare,India,2035,0.4576,2284920,0.3028,581051,457657,0.2659,54.7,7.04,36
CORP-02040,Financial Services,Canada,2020,0.5515,19546541,0.4214,6343192,4345470,0.4017,72.2,5.8,21
CORP-03074,Manufacturing,Brazil,2028,0.4363,1132044,0.5023,312795,375442,0.3561,57.8,5.55,24
CORP-00399,Manufacturing,South Korea,2027,0.4853,2823118,0.521,1145073,866038,0.4382,57.9,6.65,29
CORP-03186,Manufacturing,South Korea,2026,0.5452,4289933,0.5266,1752463,1636977,0.4129,78.3,6.28,25
CORP-04452,Retail,China,2018,0.3049,2018714,0.233,1047192,367022,0.2527,53.7,4.33,14
CORP-03779,Technology,Canada,2019,0.3103,3499632,0.2121,1154532,1655159,0.2286,55.6,4.36,15
CORP-05287,Healthcare,United States,2035,0.9447,16297063,0.6248,14662613,14325802,0.598,171.2,10.0,51
CORP-00833,Telecom,Singapore,2021,0.2936,2630952,0.1799,538838,518586,0.1105,27.3,4.71,16
CORP-07087,Technology,United States,2030,0.6658,10258014,0.5721,6425654,9167880,0.46,119.0,7.9,38
CORP-00338,Financial Services,South Korea,2019,0.4121,10576360,0.3739,2758349,2589693,0.3372,65.1,4.58,17
CORP-02505,Energy,Canada,2030,0.8868,9110638,0.8389,4569325,7116361,0.6819,123.0,8.04,36
CORP-03340,Technology,China,2031,0.8111,8095324,0.6205,4857167,12061563,0.5482,110.8,8.59,41
CORP-07131,Manufacturing,Netherlands,2028,0.5189,1653902,0.5484,530567,358522,0.4225,87.0,6.58,28
CORP-01314,Technology,United States,2018,0.0909,3377683,0.0815,1956699,873913,0.0858,12.9,3.64,12
CORP-01967,Technology,China,2020,0.3123,2567780,0.2311,654924,2614642,0.1958,25.6,4.65,18
CORP-04532,Agriculture,China,2032,0.703,2656772,0.5419,645862,631481,0.4861,94.4,8.32,39
CORP-04909,Logistics,United States,2035,1.0,4765515,0.9117,2720203,1536409,0.8334,175.2,10.0,50
CORP-01551,Retail,United States,2022,0.1861,1417667,0.131,574353,411136,0.1339,41.1,4.61,18
CORP-06967,Telecom,Canada,2022,0.6197,3360168,0.4554,1592256,827021,0.5094,96.2,6.08,22
CORP-06157,Logistics,Brazil,2016,0.106,500225,0.0533,128290,56878,0.0724,33.4,2.11,6
CORP-05221,Technology,France,2024,0.4246,7399225,0.3588,2172623,15365712,0.3369,71.4,5.58,24
CORP-00331,Telecom,United Kingdom,2029,0.6912,7554883,0.5687,2754452,8862648,0.4724,120.7,7.91,34
CORP-01397,Healthcare,Japan,2023,0.4414,4667538,0.3083,1373264,1320787,0.3114,60.3,5.55,19
CORP-02754,Logistics,Japan,2034,1.0,4240678,0.9301,2591968,3018256,0.8395,131.9,9.47,47
CORP-05189,Telecom,China,2023,0.367,7133619,0.2795,2620694,1799844,0.134,66.1,5.64,20
CORP-00369,Technology,China,2029,0.3477,3812145,0.261,1028985,2591163,0.2424,51.9,5.5,25
CORP-03737,Manufacturing,Canada,2016,0.216,2050640,0.1689,272182,360717,0.2258,28.1,3.83,11
CORP-01948,Technology,United States,2024,0.5961,9110233,0.4897,5919992,5199359,0.4306,96.6,6.96,26
CORP-06282,Financial Services,United States,2031,0.9244,13169984,0.7924,10936366,6474240,0.7005,171.6,9.97,45
CORP-01558,Logistics,India,2024,0.5763,2348426,0.5781,1225455,936861,0.5134,59.9,5.67,21
CORP-03357,Telecom,Brazil,2017,0.1922,1945847,0.0918,338777,936192,0.09,20.9,3.25,10
CORP-00453,Manufacturing,Japan,2026,0.4015,3378025,0.4323,904312,1287006,0.2834,55.1,5.57,22
CORP-01181,Healthcare,France,2017,0.4616,3142030,0.2916,584338,3254534,0.265,43.2,3.93,11
CORP-02561,Financial Services,Sweden,2027,0.5992,5018087,0.5868,1610211,1376152,0.5087,84.4,6.46,28
CORP-03657,Technology,Japan,2015,0.2668,4063516,0.1713,1079731,3185159,0.194,38.1,3.44,9
CORP-01917,Manufacturing,Germany,2018,0.1388,1000813,0.1319,180305,121351,0.1035,15.5,3.69,10
CORP-00470,Financial Services,UAE,2016,0.2906,3139374,0.2404,876817,1271126,0.161,24.5,3.71,12
CORP-07458,Agriculture,Japan,2031,0.6382,1352740,0.5089,332079,340153,0.4099,102.7,8.09,37
CORP-02267,Technology,United States,2030,0.5232,10950382,0.4356,7639887,9991765,0.3897,105.0,6.79,30
CORP-00492,Healthcare,India,2025,0.7114,2776968,0.487,1081124,519564,0.4479,70.8,6.51,28
CORP-01718,Energy,France,2033,0.5954,3758733,0.5352,1696064,1118918,0.4459,83.3,8.28,41
CORP-06074,Financial Services,United States,2025,0.5005,9567905,0.4213,1456405,3034897,0.3737,93.3,5.89,28
CORP-01020,Education,Germany,2032,0.8198,1823680,0.4629,473660,737095,0.4807,115.1,8.5,40
CORP-02148,Education,Singapore,2021,0.3619,545255,0.1565,142826,81093,0.171,52.0,5.01,16
CORP-05272,Technology,Canada,2027,0.7485,8854066,0.6416,5858379,3153795,0.5924,123.7,8.04,35
CORP-05041,Healthcare,United States,2015,0.2186,3649779,0.1683,630276,352207,0.1257,50.3,3.63,10
CORP-05144,Technology,China,2020,0.4648,4201124,0.3887,1192557,1511092,0.3404,75.9,5.32,19
CORP-00652,Technology,India,2015,0.01,937880,0.0,216717,130325,-0.0025,26.3,2.36,8
CORP-05901,Manufacturing,Australia,2016,0.01,1148909,0.0685,161410,64564,0.0831,4.5,3.18,9
CORP-07361,Retail,South Korea,2017,0.3413,2946606,0.249,725758,736554,0.2242,48.1,4.37,13
CORP-02774,Healthcare,United States,2023,0.4804,5508484,0.3444,1545131,1232002,0.4415,100.2,5.75,21
CORP-06934,Manufacturing,India,2025,0.6185,3363119,0.6314,831824,780926,0.5541,65.5,6.67,27
CORP-00279,Technology,United Kingdom,2019,0.1631,2984048,0.1437,1007610,789641,0.113,36.5,3.53,14
CORP-01171,Telecom,China,2022,0.3554,3568171,0.3157,659812,534892,0.3251,60.9,5.39,19
CORP-01811,Technology,China,2023,0.2628,2846846,0.1915,1499655,1003833,0.1765,22.6,4.17,17
CORP-02568,Manufacturing,Germany,2017,0.3832,3475345,0.3473,769843,692117,0.3101,60.3,4.74,16
CORP-02846,Healthcare,United Kingdom,2016,0.1154,1901835,0.089,312590,243559,0.1232,27.3,3.9,15
CORP-02424,Education,South Korea,2024,0.4572,477299,0.179,55905,127484,0.1849,56.1,6.1,24
CORP-04499,Technology,France,2027,0.2639,5117192,0.2314,1571733,1217866,0.2231,20.8,4.79,20
CORP-03367,Retail,United States,2020,0.4009,1286640,0.2611,372525,253889,0.2274,53.1,6.11,21
CORP-02602,Logistics,United States,2021,0.507,2544680,0.5351,674378,385933,0.4029,100.7,6.6,22
CORP-01162,Technology,United States,2025,0.2367,6144680,0.2176,2868966,1973014,0.1916,29.1,5.29,19
CORP-02791,Energy,United States,2031,0.581,9402334,0.5111,3363159,4834540,0.3953,84.9,8.09,38
CORP-01634,Financial Services,China,2018,0.01,1793415,0.0516,456594,275978,0.1157,1.0,3.23,12
CORP-07683,Retail,China,2033,0.7752,3863860,0.6075,1318814,2229152,0.6082,118.7,8.21,39
CORP-06019,Retail,United States,2026,0.6354,4210551,0.4978,2681196,5293717,0.4769,83.4,6.42,24
CORP-03915,Healthcare,United States,2027,0.466,4065312,0.2995,666342,1957840,0.2871,83.0,6.67,31
CORP-03804,Manufacturing,India,2029,0.6742,3595169,0.6455,1135597,1411651,0.5709,78.4,6.42,28
CORP-00045,Logistics,Japan,2018,0.4121,2254474,0.3922,534371,490180,0.3186,37.0,3.7,12
CORP-07344,Technology,South Korea,2021,0.0778,1325758,0.0818,408709,527142,0.047,18.4,4.04,15
CORP-01737,Technology,Netherlands,2018,0.5035,6856050,0.3944,2911228,2297626,0.4309,59.9,5.42,18
CORP-04272,Manufacturing,France,2031,0.4894,2503323,0.4477,1011787,842599,0.4,64.3,6.07,32
CORP-04680,Retail,China,2033,0.8312,3219270,0.6041,1267183,971385,0.5958,121.4,8.84,43
CORP-05962,Retail,France,2030,0.7533,2819682,0.5088,1086962,832312,0.4796,98.9,7.77,34
CORP-03283,Manufacturing,United Kingdom,2020,0.0903,753195,0.1231,92470,181023,0.0935,8.0,3.89,14
CORP-02324,Healthcare,Singapore,2020,0.3583,1885096,0.1559,553000,528352,0.2815,49.3,5.03,16
CORP-01638,Technology,Australia,2023,0.4245,3013781,0.3278,2662253,2198150,0.3261,72.7,4.99,20
CORP-04456,Retail,Brazil,2017,0.1378,460347,0.1103,52870,100517,0.132,9.7,2.29,10
CORP-04642,Technology,India,2020,0.1079,1701074,0.0747,511946,504274,0.1138,21.3,3.22,12
CORP-05030,Energy,United States,2031,0.6342,13517337,0.5561,9143274,3390777,0.504,103.8,7.87,39
CORP-03317,Financial Services,France,2021,0.6256,8104105,0.4845,2088781,1494117,0.4499,91.5,6.45,23
CORP-00001,Agriculture,South Korea,2016,0.4361,753885,0.3209,160477,302813,0.3773,62.0,4.7,12
CORP-07952,Manufacturing,France,2020,0.3879,2204956,0.3838,479588,445893,0.3456,46.7,5.43,19
CORP-01092,Financial Services,Japan,2015,0.4849,6390234,0.4164,1960984,3764723,0.3375,60.2,4.69,16
CORP-05483,Manufacturing,France,2029,0.9064,6622088,0.8731,2309458,2660225,0.7798,124.2,9.18,43
CORP-05895,Agriculture,China,2031,0.8284,1956833,0.5965,1014234,1253737,0.6239,125.1,8.02,41
CORP-06108,Telecom,United States,2019,0.6164,12304191,0.4258,5492174,4922770,0.4827,94.9,5.6,16
CORP-06569,Technology,China,2016,0.2341,2607243,0.158,1011251,892445,0.1483,34.0,4.52,11
CORP-00589,Retail,South Korea,2031,0.7,2989006,0.4756,1504066,1455119,0.5115,104.2,7.98,38
CORP-03363,Logistics,South Korea,2031,0.6279,2961628,0.6373,1620284,1482125,0.5867,85.5,7.55,34
CORP-06016,Healthcare,United States,2016,0.01,1415930,0.0285,187463,160508,0.0263,1.0,3.68,13
CORP-02929,Healthcare,United States,2021,0.4962,7211086,0.2647,1385072,2158146,0.3455,85.6,5.69,21
CORP-07171,Technology,United States,2023,0.6152,8116375,0.5095,4210574,6132015,0.4314,97.0,6.39,27
CORP-06167,Manufacturing,United Kingdom,2027,0.5636,4697040,0.517,1018803,2604846,0.4449,86.1,7.67,33
CORP-01965,Telecom,China,2023,0.3038,3310909,0.261,368737,498668,0.1608,59.1,4.83,18
CORP-02045,Telecom,China,2030,0.8875,8785765,0.668,3553975,4366455,0.6291,120.4,7.83,36
CORP-00839,Retail,United Kingdom,2024,0.3534,2095022,0.248,790135,1729518,0.3021,47.8,5.07,20
CORP-00563,Financial Services,United States,2025,0.3752,3656295,0.2822,1201760,1117161,0.2308,48.2,6.43,30
CORP-05638,Financial Services,Canada,2025,0.3757,5821274,0.2842,1914910,2214337,0.2676,58.8,5.31,21
CORP-05532,Energy,United States,2023,0.4861,3370282,0.4211,894493,804147,0.4595,88.0,6.69,25
CORP-03755,Telecom,Germany,2033,0.6608,7069852,0.5176,2564175,3351984,0.5039,91.1,7.56,38
CORP-00092,Telecom,South Korea,2029,0.5426,9505415,0.4162,3453685,5025350,0.361,44.2,6.71,32
CORP-06288,Logistics,Brazil,2018,0.2256,638295,0.2728,165433,143156,0.1248,10.7,3.25,10
CORP-04514,Retail,South Korea,2022,0.4504,1084906,0.3905,397004,256581,0.3825,55.5,4.82,18
CORP-04808,Manufacturing,India,2033,0.66,4645763,0.5958,1266586,1616528,0.5379,86.4,7.57,37
CORP-06505,Technology,United States,2025,0.4587,6059486,0.3873,3194304,3882097,0.3639,82.4,6.24,25
CORP-06104,Telecom,China,2029,0.6076,5544371,0.4724,2355438,1738526,0.4571,88.1,6.55,33
CORP-04067,Retail,United States,2019,0.01,616400,0.0888,115635,85352,0.0405,1.0,2.98,15
CORP-04306,Manufacturing,China,2019,0.0873,1209974,0.131,159138,271035,0.1419,21.4,2.84,9
CORP-04290,Manufacturing,United States,2026,0.4921,3677050,0.4559,1068112,1099750,0.347,93.4,7.14,29
CORP-01470,Retail,United Kingdom,2031,0.6459,3761414,0.4446,1218305,1524989,0.4432,112.9,7.66,36
CORP-03669,Manufacturing,United States,2016,0.01,826825,0.0285,104475,60988,-0.0274,1.0,3.49,9
CORP-07595,Technology,United States,2016,0.3046,3657787,0.2444,1509220,1873440,0.2201,67.2,3.59,9
CORP-03375,Healthcare,Japan,2023,0.7192,12848401,0.4334,3648323,4662220,0.4453,98.2,5.95,23
CORP-07982,Energy,United States,2019,0.1156,2225910,0.0978,328756,-44527,0.0868,15.1,4.1,13
CORP-02731,Retail,India,2032,0.7935,1715780,0.5157,847696,858493,0.4426,100.7,7.74,37
CORP-03499,Technology,India,2025,0.4314,3576455,0.3564,2107119,-955542,0.2922,49.3,5.81,24
CORP-01230,Energy,Australia,2015,0.01,1533123,0.0777,233888,295545,0.023,1.0,2.47,7
CORP-04129,Technology,Germany,2032,0.4377,4725134,0.4003,2370132,2369691,0.382,62.1,6.24,32
CORP-00780,Technology,UAE,2017,0.1219,1551038,0.1723,459370,331800,0.1388,19.4,2.91,9
CORP-06829,Energy,Australia,2027,0.4731,3098738,0.4966,1132423,817542,0.3652,61.3,5.96,25
CORP-03515,Retail,Germany,2024,0.3182,1266736,0.273,441632,599641,0.2327,42.3,5.11,21
CORP-06631,Telecom,China,2025,0.5177,2930022,0.4751,1005047,-511487,0.4361,73.3,5.94,24
CORP-01396,Retail,Germany,2031,0.7004,2285470,0.4837,999716,661425,0.4088,103.9,7.83,37
CORP-07806,Healthcare,Germany,2024,0.2615,1850380,0.1874,473404,508089,0.1484,50.1,5.26,23
CORP-03416,Manufacturing,United States,2019,0.8287,7351276,0.8383,1700009,4583499,0.6968,123.2,6.67,21
CORP-00389,Financial Services,Canada,2020,0.4686,8293386,0.4702,2830332,2681863,0.4407,59.5,5.57,20
CORP-07469,Technology,United States,2026,0.7134,6730999,0.5442,4431673,10971224,0.4999,119.7,7.02,27
CORP-00904,Technology,United States,2024,0.7601,14628302,0.6062,9555252,5940309,0.6383,142.9,6.93,30
CORP-01767,Education,United Kingdom,2023,0.2332,417652,0.0849,106424,44174,0.0723,35.1,4.83,19
CORP-06080,Financial Services,United States,2017,0.0465,3602663,0.1304,723484,847207,0.0436,17.8,3.33,9
CORP-00126,Telecom,South Korea,2015,0.0285,1240325,0.0222,241448,95661,0.0207,1.0,2.19,8
CORP-02762,Retail,UAE,2027,0.5334,1374794,0.358,498812,790866,0.3739,76.3,6.97,29
CORP-03023,Logistics,United States,2024,0.4696,2767864,0.4418,1051975,726524,0.3803,70.5,6.18,24
CORP-03461,Healthcare,Singapore,2015,0.2458,1565575,0.1916,449151,163008,0.1932,58.0,3.25,9
CORP-06985,Healthcare,Canada,2024,0.3729,2699809,0.2995,818163,1721419,0.3502,64.9,5.2,19
CORP-04917,Healthcare,China,2034,0.9168,7898510,0.6015,2081932,6377584,0.6061,129.6,9.15,49
CORP-02936,Technology,United Kingdom,2032,0.603,8558151,0.5589,7320974,5464468,0.5286,90.6,6.81,32
CORP-07562,Energy,China,2015,0.01,1046037,0.0688,163310,143302,0.0566,1.0,2.35,7
CORP-05061,Technology,United Kingdom,2027,0.5104,6763431,0.3962,4138674,3620650,0.3179,70.7,6.91,32
CORP-03871,Manufacturing,United Kingdom,2018,0.1431,1860730,0.1007,307890,273263,0.0741,37.2,3.02,10
CORP-03578,Retail,France,2019,0.3275,1058149,0.2526,356082,448191,0.1626,40.0,4.21,12
CORP-04063,Technology,India,2034,0.9934,7090527,0.8468,4629351,3631343,0.7564,118.5,9.55,50
CORP-01876,Agriculture,United States,2016,0.2971,837718,0.224,137690,-17335,0.1625,53.3,3.74,9
CORP-05112,Agriculture,China,2027,0.6256,1412097,0.6142,814816,483026,0.484,89.3,7.7,32
CORP-05421,Agriculture,United States,2026,0.6949,1233264,0.5638,322388,432106,0.5017,119.5,7.44,28
CORP-01621,Financial Services,China,2018,0.01,2738975,0.0501,307560,165712,-0.0244,1.0,3.0,10
CORP-06564,Manufacturing,Germany,2016,0.01,667067,0.0209,77114,52433,0.0893,1.0,3.06,12
CORP-02662,Agriculture,China,2018,0.0311,396624,0.0137,31650,37592,-0.0033,19.2,4.16,12
CORP-05858,Financial Services,United States,2028,0.6914,13389531,0.6047,6873076,5308125,0.5676,120.4,7.55,34
CORP-03075,Education,China,2018,0.01,98629,0.0402,10975,4943,0.0563,1.0,2.4,14
CORP-00640,Education,India,2035,0.6097,489194,0.3391,116603,116440,0.3995,77.1,8.17,41
CORP-07427,Telecom,United States,2016,0.01,1588940,0.0379,242399,-11495,0.0851,6.8,2.95,10
CORP-03488,Technology,United Kingdom,2022,0.3143,9128818,0.2686,2972405,4390812,0.2729,52.1,4.59,18
CORP-07399,Financial Services,India,2020,0.5182,3255851,0.4766,1606451,2423196,0.4308,63.3,5.08,18
CORP-00534,Telecom,United States,2016,0.2481,5549859,0.2155,1905687,977494,0.1677,36.6,3.95,13
CORP-04780,Technology,Australia,2015,0.2086,2911947,0.151,762763,1164176,0.1353,15.0,2.44,10
CORP-07609,Technology,United States,2020,0.4045,5521072,0.3438,3228996,631453,0.29,80.6,5.36,18
